first,last,role,bigfinish,dob,alive,dod,death_age,category,category_id
Daisy,Haggard,"Sophie in ""The Lodger"" and ""Closing Time""",FALSE,1/1/1978,TRUE,,,7 - Major recurring character,7
Sophie,Okonedo,"Liz X in Series 5 and Alison Cheney in ""Scream of the Shalka""",FALSE,1/1/1969,TRUE,,,7 - Major recurring character,2
Dave,Martin,Writer of 8 stories 1971-1979 and co-creator of K9,FALSE,1/1/1935,FALSE,2007,72,5 - Multiple other roles,5
Toby,Hadoke,"Moderator of Doctor Who DVD commentaries from 2009-Present, and recurring characters in multiple Big Finish ranges",FALSE,1/2/1974,TRUE,,,5 - Multiple other roles,5
Deborah,Watling,Victoria Waterfield 1967-1968,TRUE,1/2/1948,FALSE,2017,69,2 - The Doctor's companion,2
Shayne,Armstrong,Writer and storyline writer of five K-9 episodes,FALSE,1/4/1970,TRUE,,,10 - Frequent writer or director,10
Rowan,Atkinson,9th Doctor in Curse of Fatal Death,FALSE,1/6/1955,TRUE,,,1 - The Doctor,1
William,Hartnell,The Doctor 1963-1966 and 1973,FALSE,1/8/1908,FALSE,1975,67,1 - The Doctor,1
Jack,Watling,"Professor Travers in ""The Abominable Snowmen"" and ""Web of Fear,"" also the father of Victoria actor Deborah Watling",FALSE,1/13/1923,FALSE,2001,78,5 - Multiple other roles,5
Randy,McCullick,An Unearthly Podcast's Ran-San,FALSE,1/13/1976,FALSE,2023,47,4 - Spin-off main character,4
Jemma,Redgrave,Kath Lethbridge-Stewart 2012 to Present,TRUE,1/14/1965,TRUE,,,7 - Major recurring character,7
Ajoa,Andoh,Francine Jones Series 3-4,TRUE,1/14/1963,TRUE,,,7 - Major recurring character,7
Richard,Franklin,Mike Yates 1971-1974 and 1983,TRUE,1/15/1937,FALSE,2023,87,2 - The Doctor's companion,2
Malcolm,Clarke,Incidental music for 7 stories 1972-1986,FALSE,1/17/1943,FALSE,2003,60,"6 - Other producers, script editors, and composers",6
Christopher H.,Bidmead,Script Editor for Season 18 and writer of 3 stories 1981-1984,TRUE,1/18/1941,FALSE,2025,84,"3 - Doctor Who showrunner, producer, or story editor",3
Tom,Baker,"The Doctor 1974-1981, the Curator 2013",TRUE,1/20/1934,TRUE,,,1 - The Doctor,1
Tommy,Knight,"Luke in Sarah Jane Adventures and ""The Stolen Earth/Journey's End""",FALSE,1/22/1993,TRUE,,,4 - Spin-off main character,4
Pamela,Salem,"Several side roles including Rachel Jensen in ""Remembrance of the Daleks,"" which she reprised throughout the Big Finish Countermeasures range",FALSE,1/22/1944,FALSE,2024,80,8 - Minor recurring character,8
John,Hurt,"The War Doctor in ""The Name of the Doctor"" and ""The Day of the Doctor""",TRUE,1/22/1940,FALSE,2017,77,1 - The Doctor,1
Malcolm,Young,Executive Producer for Series 1,FALSE,1/26/1957,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Catrin,Stewart,Jenny Flint 2011-2014,TRUE,1/29/1988,TRUE,,,7 - Major recurring character,7
Daphne,Ashbrook,Grace Holloway in the TV Movie,TRUE,1/30/1963,TRUE,,,2 - The Doctor's companion,2
Elisabeth,Sladen,"Sarah Jane Smith 1973-1976, 1981, 1983, 2006-2011",TRUE,2/1/1946,FALSE,2011,65,2 - The Doctor's companion,2
Warwick,Davis,"Porridge in ""Nightmare in Silver,"" better known as Wicket the Ewok, Marvin the Paranoid Android, and other roles",FALSE,2/3/1970,TRUE,,,9 - Celebrity guest star,9
Peter,Butterworth,The Monk in Seasons 2 and 3,FALSE,2/4/1919,FALSE,1979,59,7 - Major recurring character,7
Matt,Winchell,An Unearthly Podcast's Mad Matt,FALSE,2/4/1985,TRUE,,,4 - Spin-off main character,4
Malorie,Blackman,"Writer of ""Rosa"" and first non-white writer to write for televised Doctor Who",FALSE,2/8/1962,TRUE,,,"6 - Other producers, script editors, and composers",6
Morris,Barry,Director of three stories 1967-1968,FALSE,2/9/1918,FALSE,2000,82,10 - Frequent writer or director,10
Robert,Shearman,"Writer of ""Dalek,"" the story it was based on ""Jubilee,"" and many other Big Finish audios",FALSE,2/10/1970,TRUE,,,10 - Frequent writer or director,10
Peter,Purves,Steven Taylor 1965-1966,TRUE,2/10/1939,TRUE,,,2 - The Doctor's companion,2
Gareth,Thomas,Kalendorf in the Dalek Empire audio series and other Big Finish roles,FALSE,2/12/1945,FALSE,2016,71,7 - Major recurring character,7
Simon,Pegg,"The Editor in ""The Long Game"" and narrator of Doctor Who Confidential Series 1, and one of the few to have the Doctor Who/Star Trek/Star Wars hat trick",TRUE,2/14/1970,TRUE,,,5 - Multiple other roles,5
Michael R,Briant,Director of six stories 1971-1977,FALSE,2/14/1942,TRUE,,,10 - Frequent writer or director,10
Christopher,Eccleston,The Doctor Series 1,TRUE,2/16/1964,TRUE,,,1 - The Doctor,1
Jeremy,Bulloch,"Tor in ""The Space Museum"" and Hal in ""The Time Warrior,"" better known as the suit actor for Boba Fett",FALSE,2/16/1945,FALSE,2020,75,9 - Celebrity guest star,9
Kevin,Manser,Dalek and Zarbi Operator 1964-1966,FALSE,2/16/1929,FALSE,2001,72,8 - Minor recurring character,8
Jack,Montgomery,"Young Jack Harkness in ""Adam""",FALSE,2/17/1992,TRUE,,,2 - The Doctor's companion,2
Philip,Latham,"Lord President Borusa in ""The Five Doctors""",FALSE,2/17/1929,FALSE,2020,91,7 - Major recurring character,7
Anjli,Mohindra,"Rani Chandra in Sarah Jane Adventures and Queen Skithra in ""Nikola Tesla's Night of Terror""",TRUE,2/20/1990,TRUE,,,4 - Spin-off main character,4
Lauren,Ambrose,Jilly Kitzinger in Torchwood: Miracle Day,FALSE,2/20/1978,TRUE,,,8 - Minor recurring character,8
Anthony Stewart,Head,"Mr. Finch in ""School Reunion,"" several animated roles, and narrator of Series 3 and 4 of Doctor Who Confidential, better known as Rupert Giles",TRUE,2/20/1954,TRUE,,,5 - Multiple other roles,5
Gerry,Davis,"Co-Creator of the Cybermen, Story Editor 1966-1967, and Writer of 5 stories 1966-1975",TRUE,2/23/1930,FALSE,1991,61,"3 - Doctor Who showrunner, producer, or story editor",3
David,Gooderson,"Davros in ""Destiny of the Daleks""",FALSE,2/24/1941,TRUE,,,8 - Minor recurring character,8
Sadie,Miller,"Natalie Redfern in the Sarah Jane Smith audio series and the recast Sarah Jane for Big Finish, also the daughter of Sarah Jane actor Elisabeth Sladen",FALSE,2/25/1985,TRUE,,,2 - The Doctor's companion,2
Ingrid,Oliver,The Osgoods 2013-2015,TRUE,2/26/1977,TRUE,,,8 - Minor recurring character,8
Tony,Selby,Sabalom Glitz 1986-1987,FALSE,2/26/1938,FALSE,2021,83,8 - Minor recurring character,8
Derek,Ware,Stunt actor and fight coordinator 1963-1972 ,FALSE,2/27/1938,FALSE,2015,77,"6 - Other producers, script editors, and composers",6
Katy,Wix,Rhiannon Davies in Torchwood: Children of Earth,FALSE,2/28/1980,TRUE,,,8 - Minor recurring character,8
Murray,Gold,"Title and incidental music for Doctor Who, Torchwood, and Sarah Jane Adventures 2005-2017",FALSE,2/28/1969,TRUE,,,"6 - Other producers, script editors, and composers",6
Mervyn,Pinfield,Associate Producer and Director of 3 stories 1963-1965,FALSE,2/28/1912,FALSE,1966,54,"6 - Other producers, script editors, and composers",6
Roger,Delgado,The Master 1971-1973,FALSE,3/1/1918,FALSE,1973,55,2 - The Doctor's companion,2
Jocelyn Jee,Esien,Carla Langer 2008-2011,FALSE,3/2/1979,TRUE,,,7 - Major recurring character,7
Alexander,Armstrong,Mr. Smith 2007-2011,FALSE,3/2/1970,TRUE,,,4 - Spin-off main character,4
Michael,Troughton,"Professor Albert in ""Last Christmas,"" better known as the son of Second Doctor Patrick Troughton",TRUE,3/2/1955,TRUE,,,9 - Celebrity guest star,9
Stephen,Thorne,"Omega in ""The Three Doctors""",TRUE,3/2/1935,FALSE,2019,84,7 - Major recurring character,7
Matt,Lucas,Nardole 2015-2017,FALSE,3/5/1974,TRUE,,,2 - The Doctor's companion,2
Erin,Burke,An Unearthly Podcast's RomeoMoon,FALSE,3/5/1981,TRUE,,,4 - Spin-off main character,4
Rufus,Hound,"Sam Swift in ""The Woman Who Lived"" and the Monk for Big Finish",FALSE,3/6/1979,TRUE,,,8 - Minor recurring character,8
Gordon,Flemyng,Director of the Aaru Dalek movies,FALSE,3/7/1934,FALSE,1995,61,"3 - Doctor Who showrunner, producer, or story editor",3
Brian,Hayles,Writer of six serials 1966-1974 and creator of the Toymaker and the Ice Warriors,TRUE,3/7/1930,FALSE,1978,48,5 - Multiple other roles,5
Paul,Clayton,"Mr. Bartle in ""Planet of the Ood,"" Mergrass in ""The Infinite Quest"" and Mr. Colchester in numerous Big Finish Torchwood audios",FALSE,3/8/1967,TRUE,,,8 - Minor recurring character,8
Chris,Clough,Director of six serials 1986-1988,FALSE,3/9/1951,TRUE,,,10 - Frequent writer or director,10
Yee Jee,Tso,Chang Lee in the TV Movie and Charlie Sato and other Big Finish roles,FALSE,3/10/1975,TRUE,,,2 - The Doctor's companion,2
Stewart,Bevan,"Clifford Jones, spouse of Jo, in ""The Green Death""",TRUE,3/10/1948,FALSE,2022,73,8 - Minor recurring character,8
John,Barrowman,Captain Jack Harkness 2005-2010 and 2020,TRUE,3/11/1967,TRUE,,,2 - The Doctor's companion,2
Alex,Kingston,River Song 2008-2015,TRUE,3/11/1963,TRUE,,,2 - The Doctor's companion,2
Robert,Glenister,"A member of the Classic/Modern club as Salateen in ""The Caves of Androzani"" and Thomas Edison in ""Nikola Tesla's Night of Terror""",TRUE,3/11/1960,TRUE,,,7 - Major recurring character,7
Douglas,Adams,"Script Editor for Season 17 and writer of three stories 1978-1980, including the original treatment for ""Shada""",FALSE,3/11/1952,FALSE,2001,49,"3 - Doctor Who showrunner, producer, or story editor",3
Grame,Harper,"Director of two serials 1984-1985,  nine stories 2006-2009, and three Sarah Jane Adventures serials",FALSE,3/11/1945,TRUE,,,5 - Multiple other roles,5
Simon C.,Holden,2D Artist 2005-2008,FALSE,3/12/1957,TRUE,,,"6 - Other producers, script editors, and composers",6
Mervyn,Haisman,Writer of three serials 1967-1968 and creator of the Brigadier,FALSE,3/15/1928,FALSE,2010,82,10 - Frequent writer or director,10
John,Leeson,The voice of K-9 1977-1983 and 2006-2010,TRUE,3/16/1943,TRUE,,,2 - The Doctor's companion,2
Sam,Watts,Incidental music for Sarah Jane Adventures,FALSE,3/17/1982,TRUE,,,"6 - Other producers, script editors, and composers",6
Jane,Tranter,BBC Controller of Drama Commissioning for the 2005 revival and executive producer for Torchwood: Miracle Day and Doctor Who 2023 to the Present,FALSE,3/17/1963,FALSE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Mary,Wimbush,Sarah Jane's Aunt Lavinia in the failed pilot for K-9 & Company,FALSE,3/19/1924,FALSE,2005,81,8 - Minor recurring character,8
Freema,Agyeman,"Aeola in ""Army of Ghosts""/""Doomsday"" and Martha Jones 2008-2010, better known as Q and Discord",TRUE,3/20/1979,TRUE,,,2 - The Doctor's companion,2
John,De Lancie,Allen Shapiro in Torchwood: Miracle Day,FALSE,3/20/1967,TRUE,,,9 - Celebrity guest star,9
Bruno,Langley,"Adam in ""Dalek"" and ""The Long Game""",FALSE,3/21/1983,TRUE,,,2 - The Doctor's companion,2
Chris,Chibnall,Writer for Doctor Who and Torchwood 2005-2013 and showrunner 2018-2021,FALSE,3/21/1970,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Timothy,Dalton,"Rassilon in ""The End of Time,"" better known as James Bond",FALSE,3/21/1946,TRUE,,,5 - Multiple other roles,5
Peter,Pratt,"The Master in ""The Deadly Assassin""",FALSE,3/21/1923,FALSE,1995,71,2 - The Doctor's companion,2
Ian Stuart,Blackman,Writer of three serials 1966-1967,FALSE,3/21/1915,FALSE,1997,82,10 - Frequent writer or director,10
Mary,Tamm,Romana I Season 16,TRUE,3/22/1950,FALSE,2012,62,2 - The Doctor's companion,2
Joanna,Page,"Elizabeth I in ""The Day of the Doctor""",FALSE,3/23/1978,TRUE,,,8 - Minor recurring character,8
Louis,Marks,Writer of four serials 1964-1976,FALSE,3/23/1928,FALSE,2010,82,10 - Frequent writer or director,10
Finn,Jones,"Santiago Jones, grandson of Jo, in ""Death of the Doctor,"" better known as Loras Tyrell of Game of Thrones and Danny Rand of Marvel",FALSE,3/24/1988,TRUE,,,9 - Celebrity guest star,9
Rodney,Bennett,Director of three serials 1975-1976,FALSE,3/24/1935,FALSE,2017,81,10 - Frequent writer or director,10
Patrick,Troughton,The Doctor 1966-1969,FALSE,3/25/1920,FALSE,1987,67,1 - The Doctor,1
Barry,Letts,Doctor Who Producer 1969 to 1974 and writer 1968 to 1975,FALSE,3/26/1925,FALSE,2009,84,"3 - Doctor Who showrunner, producer, or story editor",3
Gareth,David-Lloyd,Ianto Jones in Torchwood Series 1-3,TRUE,3/28/1981,TRUE,,,4 - Spin-off main character,4
Nick,Frost,"Santa Claus in ""Last Christmas""",FALSE,3/28/1972,TRUE,,,9 - Celebrity guest star,9
John Scott,Martin,Dalek Operator 1965-1988,FALSE,4/1/1926,FALSE,2009,82,7 - Major recurring character,7
Sydney,Newman,BBC Head of Drama that commissioned Doctor Who,FALSE,4/1/1917,FALSE,1997,80,"3 - Doctor Who showrunner, producer, or story editor",3
Robert,Holmes,Doctor Who Script Editor 1975-1977 and writer 1969-1986,FALSE,4/2/1926,FALSE,1986,60,"3 - Doctor Who showrunner, producer, or story editor",3
Peter,Howell,Composer 1980-1985 and K9 & Company,FALSE,4/3/1948,TRUE,,,"6 - Other producers, script editors, and composers",6
Michael,Hayes,Director of three serials 1978-1979,FALSE,4/3/1929,FALSE,2014,85,10 - Frequent writer or director,10
Peter,Hawkins,Dalek and Cyberman voice 1963-1968,FALSE,4/3/1924,FALSE,2006,82,7 - Major recurring character,7
Derek,Martinus,Director of six serials 1965-1970,FALSE,4/4/1931,FALSE,2014,82,10 - Frequent writer or director,10
Teddy,Sears,Blue-eyed Man in Torchwood: Miracle Day,FALSE,4/6/1977,TRUE,,,8 - Minor recurring character,8
Mark,Strickson,Vislor Turlough 1983-1984,TRUE,4/6/1959,TRUE,,,2 - The Doctor's companion,2
Neve,McIntosh,Madame Vastra and other Silurians in Series 5-8+,TRUE,4/9/1972,TRUE,,,8 - Minor recurring character,8
Peter,Davison,The Doctor Seasons 19-21,TRUE,4/13/1951,TRUE,,,1 - The Doctor,1
David,Fisher,Writer of five stories 1978-1980,FALSE,4/13/1929,FALSE,2018,88,10 - Frequent writer or director,10
Peter,Capaldi,"Caecilius in “The Fires of Pompeii,” John Frobisher in Torchwood Series 3, The Doctor 2014-2017",FALSE,4/14/1958,TRUE,,,1 - The Doctor,1
Terrance,Dicks,"Doctor Who script editor 1968- 1974 and writer until 1983, plus other media",FALSE,4/14/1935,FALSE,2019,84,1 - The Doctor,1
Maisie,Williams,"Ashildr aka Lady Me in Series 9, better known as Arya Stark in Game of Thrones",FALSE,4/15/1997,TRUE,,,5 - Multiple other roles,5
Peter,Moffatt,Director of six serials 1980-1985,FALSE,4/15/1923,FALSE,2007,84,10 - Frequent writer or director,10
Derrick ,Sherwin ,Doctor Who story editor 1968- 1969 and producer for “The War Games” and “Spearhead from Space”,FALSE,4/16/1936,FALSE,2018,82,"3 - Doctor Who showrunner, producer, or story editor",3
David,Bradley,"Solomon in “Dinosaurs on a Spaceship,” William Hartnell in An Adventure in Space and Time, the Doctor in “Twice Upon a Time” and “The Power of the Doctor”",TRUE,4/17/1942,TRUE,,,1 - The Doctor,1
Clyde ,Pollitt ,Time Lord Chancellor in “The War Games” and “The Three Doctors”,FALSE,4/17/1924,FALSE,1989,65,8 - Minor recurring character,8
David,Tennant,The Doctor 2005-2010 and 2023,TRUE,4/18/1971,TRUE,,,1 - The Doctor,1
Camille ,Coduri ,Jackie Tyler 2005-2010,TRUE,4/18/1965,TRUE,,,2 - The Doctor's companion,2
Eric,Roberts,The Master in the TV Movie,TRUE,4/18/1956,TRUE,,,7 - Major recurring character,7
David,Whitaker,Doctor Who story editor 1963- 1964 and writer until 1970,FALSE,4/18/1928,FALSE,1980,51,"3 - Doctor Who showrunner, producer, or story editor",3
Louise,Jameson,Leela of the Sevateem 1977- 1978,TRUE,4/20/1951,TRUE,,,2 - The Doctor's companion,2
Anthony,Read,Doctor Who Script Editor 1978- 1979,FALSE,4/21/1935,FALSE,2015,80,"3 - Doctor Who showrunner, producer, or story editor",3
Gerald,Flood,Voice of Kamelion 1983-1984,FALSE,4/21/1927,FALSE,1989,61,2 - The Doctor's companion,2
Michelle,Ryan,"Lady Christina de Souza in ""Planet of the Dead"" and her Big Finish spin-off",FALSE,4/22/1984,TRUE,,,4 - Spin-off main character,4
Jenna,Coleman,Clara Oswald and her variants 2012-2015,FALSE,4/27/1986,TRUE,,,2 - The Doctor's companion,2
Joseph,Milson,Alan Jackson (Maria's father) in Sarah Jane Adventures 2007-2008,FALSE,4/27/1974,TRUE,,,7 - Major recurring character,7
Russell T,Davies,Doctor Who showrunner 2005-2010 and 2023-Present,FALSE,4/27/1963,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Ben,Loyd-Holmes,Government Operative in Torchwood: Children of Earth,FALSE,4/28/1981,TRUE,,,8 - Minor recurring character,8
Anita,Dobson,Mrs. Flood 2023-Present,FALSE,4/29/1949,TRUE,,,7 - Major recurring character,7
Sacha,Dhawan,Waris Hussein in An Adventure in Space and Time and The Master 2020-2022,TRUE,5/1/1984,TRUE,,,2 - The Doctor's companion,2
Joanna,Lumley,"The Thirteenth Doctor in ""Curse of Fatal Death""",FALSE,5/1/1946,TRUE,,,1 - The Doctor,1
Dan,Watts,Incidental music for 8 Sarah Jane Adventures stories 2009-2011,FALSE,5/2/1975,TRUE,,,"6 - Other producers, script editors, and composers",6
Richard E.,Grant,"The Tenth Doctor in ""Curse of Fatal Death,"" the Doctor in ""Scream of the Shalka,"" andDr. Simeon and the Great Intelligence in Series 7",FALSE,5/5/1957,TRUE,,,1 - The Doctor,1
Terry,Walsh,Stunt and character actor in 35 stories 1966-1978 and fight arranger for 11 stories 1972-1978,FALSE,5/5/1939,FALSE,2002,62,"6 - Other producers, script editors, and composers",6
Delia,Derbyshire,Doctor Who title music arranger,FALSE,5/5/1937,FALSE,2001,64,"6 - Other producers, script editors, and composers",6
Susan,Brown,Bridget Spears in Torchwood: Children of Earth,TRUE,5/6/1946,TRUE,,,8 - Minor recurring character,8
Nicholas,Mallett,Director of three serials 1986-1989,FALSE,5/6/1945,FALSE,1997,51,10 - Frequent writer or director,10
Valentine,Dyall,Black Guardian 1965-1983,FALSE,5/7/1908,FALSE,1985,77,7 - Major recurring character,7
Douglas,Camfield,Director of 9 stories 1964-1976,FALSE,5/8/1931,FALSE,1984,52,10 - Frequent writer or director,10
William,Hughes,The Master (as a child) 2007-2010,FALSE,5/12/1998,FALSE,2018,20,2 - The Doctor's companion,2
Catherine,Tate,Donna Nobles 2006-2010 and 2023,TRUE,5/12/1986,TRUE,,,2 - The Doctor's companion,2
Varada,Sethu,Mundy Flynn in Bad Wolf Season 1 and Belinda Chandra in Season 2,FALSE,5/12/1992,TRUE,,,2 - The Doctor's companion,2
Frances,Barber,Madame Kovarian in Series 6,FALSE,5/13/1958,TRUE,,,7 - Major recurring character,7
Zoë ,Wanamaker,Cassandra 2005-2006,FALSE,5/13/1949,TRUE,,,8 - Minor recurring character,8
Indira,Varma,"Suzie Costello in Torchwood Season 1 and the Duchess of Pemberton in ""Rogue""",TRUE,5/14/1973,TRUE,,,7 - Major recurring character,7
Ysanne,Churchman,"Alpha Centauri in the Third and Twelfth Doctor eras and Spider Voice in ""Planet of the Spiders""",FALSE,5/14/1925,FALSE,2024,99,7 - Major recurring character,7
Tristram,Cary,Incidentical music (and one ballad) for eight serials 1963-1972,FALSE,5/14/1925,FALSE,2008,82,"6 - Other producers, script editors, and composers",6
Michael,Wisher,"Davros in ""Genesis of the Daleks,"" Dalek voice in three Third Doctor stories, and a variety of other roles",FALSE,5/19/1935,FALSE,1995,60,7 - Major recurring character,7
John,Lucarotti,"Writer of three stories 1963-1966 and the first draft of ""The Ark in Space""",FALSE,5/20/1926,FALSE,1994,68,10 - Frequent writer or director,10
Juliet,Cowan,Chrissie Jackson (Maria's mother) in Sarah Jane Adventures 2007-2008,FALSE,5/21/1974,TRUE,,,7 - Major recurring character,7
Don,Warrington,"The President in ""Rise of the Cybermen"" / ""The Age of Steel"" and Rassilon in five Big Finish stories",FALSE,5/23/1951,TRUE,,,7 - Major recurring character,7
Jim,Broadbent,"The Eleventh Doctor in ""Curse of Fatal Death""",FALSE,5/24/1949,TRUE,,,1 - The Doctor,1
Graham,Williams,Producer from Season 15 through 17,FALSE,5/24/1945,FALSE,1990,45,"3 - Doctor Who showrunner, producer, or story editor",3
Sir Ian,McKellan,"The Great Intelligence in ""The Snowmen,"" better known as Magneto and Gandalf",FALSE,5/25/1939,TRUE,,,9 - Celebrity guest star,9
Peter,Cushing,"Dr. Who in the Aaru Dalek movies, better known as Grand Moff Tarkin and Van Helsing",FALSE,5/26/1913,FALSE,1994,81,1 - The Doctor,1
Pearl,Mackie,Bill Potts in Series 10,FALSE,5/29/1987,TRUE,,,2 - The Doctor's companion,2
Mark,Sheppard,"Canton Delaware in ""The Impossible Astronaut"" / ""Day of the Moon,"" better known as Crowley from Supernatural",FALSE,5/30/1964,TRUE,,,9 - Celebrity guest star,9
Tracey,Childs,"Metella in ""The Fires of Pompeii"" and Seventh Doctor audio-only companion Elizabeth Klein",FALSE,5/30/1963,TRUE,,,2 - The Doctor's companion,2
Christopher,Robbie,"Cyber-Leader in ""Revenge of the Cybermen"" and Karkus in ""The Mind Robber""",FALSE,5/30/1938,TRUE,,,8 - Minor recurring character,8
Claudia,Grant,Carole Ann Ford in An Adventure in Space and Time and Susan Foreman in The First Doctor Adventures and Diary of River Song,FALSE,5/31/1985,TRUE,,,2 - The Doctor's companion,2
Reggie,Yates,Leo Jones (Martha's brother) in Series 3,FALSE,5/31/1983,TRUE,,,8 - Minor recurring character,8
Lynda,Bellingham,"Inquisitor Darkel in ""Trial of a Time Lord""",TRUE,5/31/1948,FALSE,2014,66,7 - Major recurring character,7
Archie,Panjabi,The Rani in 2025,FALSE,5/31/1972,TRUE,,,7 - Major recurring character,7
Jonathan,Pryce,"The Master in ""Curse of Fatal Death""",FALSE,6/1/1947,TRUE,,,2 - The Doctor's companion,2
Jon,Culshaw,"Voiced many roles including several Doctors and the Master, most frequently Lethbridge-Stewart and Kamelion",FALSE,6/2/1968,TRUE,,,2 - The Doctor's companion,2
Ian,Gelder,"Mr. Dekker in Torchwood: Children of Earth, the Remnants in ""Ghost Monument,"" and Zellin in ""Can You Hear Me?""",TRUE,6/3/1949,FALSE,2024,74,5 - Multiple other roles,5
Penelope,Wilton,Harriet Jones 2005-2008,FALSE,6/3/1946,TRUE,,,7 - Major recurring character,7
Julie,Gardner,"Head of Drama at BBC Wales 2005-2009, Executive Producer of all Doctor Who shows 2005-2010 and 2023-Present",FALSE,6/4/1969,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Bradley,Walsh,"Graham O'Brien 2018-2022 and the Pied Piper in ""Day of the Clown""",FALSE,6/4/1960,TRUE,,,2 - The Doctor's companion,2
Nisha,Nayar,"Red Kang in ""Paradise Towers"" and a programmer in ""Bad Wolf"" / ""Parting of the Ways""",FALSE,6/7/1967,TRUE,,,8 - Minor recurring character,8
Colin,Baker,"The Sixth Doctor 1984-1986 and Commander Maxil in ""Arc of Infinity""",TRUE,6/8/1943,TRUE,,,1 - The Doctor,1
Peter,Grimwade,Director of three serials 1980-1982 and Writer of three serials 1982-1984,FALSE,6/8/1942,FALSE,1990,47,10 - Frequent writer or director,10
David A,Troughton,"King Peladon in ""The Curse of Peladon,"" Professor Hobbes in ""Midnight,"" and The Black Guardian for Big Finish, in addition to other roles; also the son of Second Doctor Patrick Troughton",FALSE,6/9/1950,TRUE,,,5 - Multiple other roles,5
Kit,Pedler,"Writer of three stories 1966-1967, outliner of three stories 1966-1969, and co-creator of the Cybermen",FALSE,6/11/1927,FALSE,1981,53,5 - Multiple other roles,5
Julia,Joyce,"Rose Tyler as a baby in ""Father's Day"" and Holly Frobisher in Torchwood: Children of Earth",FALSE,6/14/1998,TRUE,,,2 - The Doctor's companion,2
Michael,Ferguson,Director of four stories 1966-1971,FALSE,6/14/1937,FALSE,2021,84,10 - Frequent writer or director,10
Candace,Brown,Sarah Drummond (Esther's sister) in Torchwood: Miracle Day,FALSE,6/15/1980,TRUE,,,8 - Minor recurring character,8
Neil Patrick,Harris,"The Toymaker in ""The Giggle,"" better known as Doogie Howser and Dr. Horrible",FALSE,6/15/1973,TRUE,,,9 - Celebrity guest star,9
Michelle,Greenidge,Carla Sunday 2023-2024 and possibly 2025,FALSE,6/15/1970,TRUE,,,7 - Major recurring character,7
Simon,Williams,"Group Captain Chunky Gilmore in ""Remembrance of the Daleks"" and the Big Finish Countermeasures series",FALSE,6/16/1979,TRUE,,,4 - Spin-off main character,4
Carole Ann,Ford,Susan Campbell (nee Foreman) 1963-1964 and 1983,TRUE,6/16/1940,TRUE,,,2 - The Doctor's companion,2
Michael,Kilgariff,"Cyber Controller in ""Tomb of the Cybermen"" and ""Attack of the Cybermen and several other roles",FALSE,6/16/1937,TRUE,,,7 - Major recurring character,7
Jodie,Whittaker,The Thirteenth Doctor 2018-2022,TRUE,6/17/1982,TRUE,,,1 - The Doctor,1
