first,last,role,bigfinish,dob,alive,dod,death_age,category,category_id
Arthur,Darvill,Rory Williams 2010-2012,TRUE,6/17/1982,TRUE,,,2 - The Doctor's companion,2
Millie,Gibson,Ruby Sunday 2023 to the Present,FALSE,6/19/2004,TRUE,,,2 - The Doctor's companion,2
Paul,Bernard,Director of three stories 1972-1973,FALSE,6/20/1929,FALSE,1997,68,10 - Frequent writer or director,10
Ian,Levine,"Title music for K-9 & Company pilot, best known for his role in the preservation of lost episodes",FALSE,6/22/1953,TRUE,,,5 - Multiple other roles,5
Caitlin,Blackwood,Amy Pond as a child 2010-2011,FALSE,6/23/2000,TRUE,,,2 - The Doctor's companion,2
Yasmin,Paige,Maria Jackson in Sarah Jane Adventures 2007-2008,FALSE,6/24/1991,TRUE,,,4 - Spin-off main character,4
Sheridan,Smith,Eighth Doctor's audio-only companion Lucie Miller 2007-2011 and 2019 plus Short Trips,FALSE,6/25/1981,TRUE,,,2 - The Doctor's companion,2
Lucy,Benjamin,"Nyssa as a child in ""Mawdryn Undead""",FALSE,6/25/1970,TRUE,,,2 - The Doctor's companion,2
Daniel,Webber,Darius Pike in K-9,FALSE,6/28/1988,TRUE,,,4 - Spin-off main character,4
Lalla,Ward,"Lady Astra in ""The Armageddon Factor"" and Romanadvoratrelundar II 1979-1981",TRUE,6/28/1951,TRUE,,,2 - The Doctor's companion,2
Maureen,O'Brien,Vicki Pallister 1964-1965,TRUE,6/29/1943,TRUE,,,2 - The Doctor's companion,2
Ace,Bhatti,Haresh Chandra in Sarah Jane Adventures 2008-2011,FALSE,7/1/1940,TRUE,,,7 - Major recurring character,7
Matthew,Jacobs,Writer of the TV Movie,FALSE,7/1/1956,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Dave,Prowse,"The Minotaur in ""The Time Monster,"" better known as the suit actor for Darth Vader",FALSE,7/1/1935,FALSE,2020,85,9 - Celebrity guest star,9
Jean,Marsh,"Sara Kingdom in ""The Daleks' Master Plan""",TRUE,7/1/1934,FALSE,2025,91,2 - The Doctor's companion,2
Sonny,Caldinez,Ice warriors in four stories 1967-1974,FALSE,7/1/1932,FALSE,2022,89,8 - Minor recurring character,8
Jon,Pertwee,The Third Doctor 1970-1974 and 1983,FALSE,7/7/1919,FALSE,1996,76,1 - The Doctor,1
John,Simm,The Master 2007-2010 and 2017,TRUE,7/10/1970,TRUE,,,2 - The Doctor's companion,2
Jamie,Glover,William Russell in An Adventure in Space and Time and Ian Chesterton in The First Doctor Adventures,FALSE,7/10/1969,TRUE,,,2 - The Doctor's companion,2
Jackie,Lane,Dodo Chaplet in Season 3,FALSE,7/10/1941,FALSE,2021,79,2 - The Doctor's companion,2
David,Graham,Dalek Voice in five stories 1963-1966 and several other roles,TRUE,7/11/1925,FALSE,2024,99,7 - Major recurring character,7
Tom,Price,Andy Davidson in Torchwood 2006-2011,TRUE,7/12/1980,TRUE,,,7 - Major recurring character,7
Joseph,Lidster,Writer of four Torchwood and Sarah Jane Adventures stories 2008-2010,TRUE,7/13/1977,TRUE,,,10 - Frequent writer or director,10
Jane,Espenson,Writer and Co-Producer for five episodes of Torchwood: Miracle Day,FALSE,7/14/1964,TRUE,,,5 - Multiple other roles,5
Miles,Richardson,Several variants of Irving Braxiatel in many Big Finish stories,FALSE,7/15/1963,TRUE,,,7 - Major recurring character,7
Angus,MacKay,"Cardinal Borusa in ""The Deadly Assassin"" and the Headmaster in ""Mawdryn Undead""",FALSE,7/15/1926,FALSE,2013,86,7 - Major recurring character,7
Edmund,Warwick,"The First Doctor in part of ""The Dalek Invasion of Earth"" and the Robot Doctor in ""The Chase""",FALSE,7/15/1907,FALSE,1989,82,7 - Major recurring character,7
Paul,Cornell,"Writer of ""Father's Day,"" ""Human Nature"" / ""Family of Blood,"" and numerous Doctor Who novels",TRUE,7/18/1967,TRUE,,,10 - Frequent writer or director,10
Robert,Sloman,Writer of 4 stories 1971-1974,FALSE,7/18/1926,FALSE,2005,79,10 - Frequent writer or director,10
Sinead,Michael,Sky in Series 5 of Sarah Jane Adventures,FALSE,7/20/1998,TRUE,,,7 - Major recurring character,7
Roy,Skelton,"Dalek Voice in seven stories 1967-1988 plus ""Curse of Fatal Death"" as well as several other voicse and roles",FALSE,7/20/1931,FALSE,2011,79,7 - Major recurring character,7
Bonnie,Langford,Mel Bush 1986-1987 and 2024,TRUE,7/22/1964,TRUE,,,2 - The Doctor's companion,2
Adrienne,Hill,"Katarina in ""The Myth Makers"" and ""The Daleks' Master Plan""",FALSE,7/22/1937,FALSE,1997,60,2 - The Doctor's companion,2
Cyril,Luckham,"The White Guardian in ""The Ribos Operation"" and ""Enlightenment""",FALSE,7/25/1907,FALSE,1989,81,7 - Major recurring character,7
Eve,Myles,"Gween Cooper in Torchwood 2006-2011 and ""The Stolen Earth"" / ""Journey's End""",TRUE,7/26/1978,TRUE,,,4 - Spin-off main character,4
Bob,Baker,"Writer (usually with Dave Martin) of nine stories 1971-1979, co-creator of K-9 (the dog), and associate producer of K-9 Season 1",FALSE,7/26/1939,FALSE,2021,82,5 - Multiple other roles,5
David,Warner,The audio-only Doctor from the Unbound universe and other audio roles,FALSE,7/29/1941,FALSE,2022,80,1 - The Doctor,1
Vivienne,Bennett,"Queen Elizabeth I in ""The Chase""",FALSE,7/29/1905,FALSE,1978,73,8 - Minor recurring character,8
Ruth,Madeley,Shirley Bingham 2023-2025,FALSE,8/4/1987,TRUE,,,8 - Minor recurring character,8
Brian,Minchin,Numerous Production roles for Doctor Who and spinoffs starting in 2006 and Executive Producer of Doctor Who for the Twelfth Doctor era,FALSE,8/5/1978,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Ron,Jones,Director of six serials 1982-1986,FALSE,8/6/1945,FALSE,1993,47,10 - Frequent writer or director,10
Shobna,Gulati,Yazmin Khan's sister Najia 2018-2020,FALSE,8/7/1966,TRUE,,,8 - Minor recurring character,8
Wayne,Knight,"Brian Fridekin in Torchwood: Miracle Day, better known as Newman from Seifeld and Nedry in Jurassic Park",FALSE,8/7/1955,TRUE,,,5 - Multiple other roles,5
Terry,Nation,Creator of the Daleks Davros and writer of 11 serials 1963-1979,TRUE,8/8/1997,FALSE,1997,66,5 - Multiple other roles,5
Sanne,Wohlenberg,Producer for three Series 6 episodes and two Confidential episodes,FALSE,8/9/1968,FALSE,,,"6 - Other producers, script editors, and composers",6
Roberta,Tovey,Susan in the Aaru Dalek movies,FALSE,8/9/1953,TRUE,,,2 - The Doctor's companion,2
Kate,O'Mara,The Rani 1985-1993,FALSE,8/10/1939,FALSE,2014,74,7 - Major recurring character,7
Murray,Melvin,Bilis Manger in Torchwood Series 1,TRUE,8/10/1932,FALSE,2023,90,8 - Minor recurring character,8
Peter,Diamond,"Stunt and character actor and fight arranger for 8 stories 1964-1971, including double for the Doctor in ""Enemy of the World""",FALSE,8/10/1929,FALSE,2004,74,"6 - Other producers, script editors, and composers",6
Ron,Grainer,Doctor Who original title music composer,FALSE,8/11/1922,FALSE,1981,58,"6 - Other producers, script editors, and composers",6
Sharon D,Clarke,Grace O'Brien 2018-2021,FALSE,8/12/1966,TRUE,,,7 - Major recurring character,7
John,Nathan-Turner,Producer for Doctor Who 1984-1994,FALSE,8/12/1947,FALSE,2002,54,"3 - Doctor Who showrunner, producer, or story editor",3
Christopher,Tranchell,"Andred, spouse of Leela, in ""The Invasion of the Time""",FALSE,8/13/1941,TRUE,,,8 - Minor recurring character,8
Rachel,Talalay,Director of six stories 2014-2023,FALSE,8/16/1958,TRUE,,,10 - Frequent writer or director,10
S.P.,Krause,Writer of four episodes of K-9,FALSE,8/19/1969,TRUE,,,10 - Frequent writer or director,10
Barnaby,Edwards,"Dalek operator 2005-2015 and director, writer, and character actor for Big Finish",FALSE,8/20/1969,TRUE,,,5 - Multiple other roles,5
Sophie,Aldred,Ace 1987-1989 and 2022,TRUE,8/20/1962,TRUE,,,2 - The Doctor's companion,2
James,Marsters,"Captain John Hart in Torchwood Series 2, better known as William the Bloody",FALSE,8/20/1962,TRUE,,,5 - Multiple other roles,5
Sylvester,McCoy,The Doctor 1987-1996,TRUE,8/20/1943,TRUE,,,1 - The Doctor,1
Anthony,Ainley,Trema and the Master 1981-1994,FALSE,8/20/1932,FALSE,2004,71,2 - The Doctor's companion,2
James,Corden,Craig Owens 2010-2011,FALSE,8/22/1978,TRUE,,,2 - The Doctor's companion,2
Mark,Williams,Brian Williams in Series 7,FALSE,8/22/1959,TRUE,,,2 - The Doctor's companion,2
Stephen,Fry,"The Minister of Chance in ""Death Comes to Time"" and C in ""Spyfall""",FALSE,8/24/1957,TRUE,,,9 - Celebrity guest star,9
William Morgan,Sheppard,Old Canton Delaware in Series 6,FALSE,8/24/1932,FALSE,2019,86,8 - Minor recurring character,8
Keegan,Joyce,Starkey in K-9,FALSE,8/25/1989,TRUE,,,4 - Spin-off main character,4
Tracy-Ann,Oberman,"Yvonne Hartman in ""Army of Ghosts"" / ""Doomsday""",TRUE,8/25/1966,TRUE,,,8 - Minor recurring character,8
Phil,Collinson,"Producer for Doctor Who Series 1-4, Executive Producer for various episodes 2007-2008 and for all episodes 2023 to Present",FALSE,8/26/1970,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Annette W E,Badland,Blon Fel-Fotch Pasameer-Day Slitheen in Series 1,TRUE,8/26/1950,TRUE,,,7 - Major recurring character,7
Stephen,Greif,"Gurney in ""The Infinite Quest"" and Sir Donald Wakefield in Sarah Jane Smith Series 2",TRUE,8/26/1944,FALSE,2022,78,8 - Minor recurring character,8
Bill,Silvia,aka The One in Black of An Unearthly Podcast,FALSE,8/30/1988,TRUE,,,4 - Spin-off main character,4
Ellis,George,Courtney Woods in Series 8,FALSE,8/30/1998,TRUE,,,2 - The Doctor's companion,2
Roy,Castle,Ian in Dr. Who and the Daleks,FALSE,8/31/1932,FALSE,1992,62,2 - The Doctor's companion,2
Burn,Gorman,Owen Harper in Torchwood Series 1-2,TRUE,9/1/1974,TRUE,,,4 - Spin-off main character,4
Donald,Wilson,BBC Head of Script Department 1955-1962 and Head of Serials 1962-1965,FALSE,9/1/1910,FALSE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Kai,Owen,Rhys Williams in Torchwood Series 1-4,TRUE,9/4/1975,TRUE,,,7 - Major recurring character,7
Rona,Munro,"Writer of ""Survival"" and ""Eaters of Light""",FALSE,9/7/1959,TRUE,,,10 - Frequent writer or director,10
Julie,Sawalha,"Emma in ""The Curse of Fatal Death""",FALSE,9/9/1968,TRUE,,,2 - The Doctor's companion,2
Hugh,Grant,"Twelfth Doctor in ""The Curse of Fatal Death""",FALSE,9/9/1960,TRUE,,,1 - The Doctor,1
Janet,Fielding,Tegan Jovanka 1981-1984 and 2022,TRUE,9/9/1953,TRUE,,,2 - The Doctor's companion,2
Max J.,Rosenberg,Producer for the Dr. Who Aaru movies,FALSE,9/13/1914,FALSE,2004,89,"3 - Doctor Who showrunner, producer, or story editor",3
Fady,Elsayed,Ram in Class,TRUE,9/15/1993,TRUE,,,4 - Spin-off main character,4
Jinkx,Monsoon,"The Maestro in ""The Devil's Chord""",FALSE,9/18/1987,TRUE,,,9 - Celebrity guest star,9
Gary,Russell,"Script Editor for 9 Torchwood and Sarah Jane Adventures stories, director of Dreamland and Infinite Quest, and writer, director, and producer of many Big Finish audio dramas",FALSE,9/18/1963,TRUE,,,5 - Multiple other roles,5
Caroline,John,Liz Shaw in Season 7,TRUE,9/19/1940,FALSE,2012,71,2 - The Doctor's companion,2
Mina,Anwar,"Gita Chandra 2008-2011 and several roles in ""Smile""",TRUE,9/20/1969,TRUE,,,7 - Major recurring character,7
Christopher,Barry,Director of 10 serials 1963-1979,FALSE,9/20/1925,FALSE,2014,88,10 - Frequent writer or director,10
Sue,Vertue,"Producer for ""The Curse of Fatal Death""",FALSE,9/21/1960,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Billie,Piper,"Rose Tyler 2005-2009, The Moment in ""Day of the Doctor""",TRUE,9/22/1982,TRUE,,,2 - The Doctor's companion,2
Frazer,Hines,"Jamie McCrimmon 1966-1969, 1983, 1985",TRUE,9/22/1944,TRUE,,,2 - The Doctor's companion,2
David,Banks,Cyber Leader 1982-1988,TRUE,9/24/1951,TRUE,,,7 - Major recurring character,7
Maurice,Colbourne,"Lytton in ""Resurrection of the Daleks"" and ""Attack of the Cybermen""",FALSE,9/24/1939,FALSE,1989,49,8 - Minor recurring character,8
Leonard,Sachs,"Lord President Borusa in ""Arc of Infinity""",FALSE,9/26/1909,FALSE,1990,80,8 - Minor recurring character,8
Dominic,Glynn,"Title composer for ""Trial of a Time Lord"" and incidental music for three Seventh Doctor stories",FALSE,9/27/1960,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Kismet,Delgado,"Spider Voice in ""Planet of the Spiders"" and widow of Roger Delgado",FALSE,9/27/1929,FALSE,2017,87,9 - Celebrity guest star,9
Milton,Subotsky,Writer for Aaru Dr. Who movies,FALSE,9/27/1921,FALSE,1991,69,"3 - Doctor Who showrunner, producer, or story editor",3
Terence,Dudley,"Writer of K9 & Company pilot and three Fifth Doctor stories and Director of Fourth Doctor story ""Meglos""",FALSE,9/28/1919,FALSE,1988,69,5 - Multiple other roles,5
Nicholas,Briggs,"Voice of the Daleks and other monsters from 2005 to Present, every production role you can imagine for Big Finish",FALSE,9/29/1961,TRUE,,,5 - Multiple other roles,5
Angela,Pleasence,"Queen Elizabeth I in ""The Shakespeare Code"" and Mystic Mags in ""The Curse of Clyde Langer""",FALSE,9/30/1941,TRUE,,,8 - Minor recurring character,8
Philip,Hinchcliffe,Doctor Who Producer 1975-1977,TRUE,10/1/1944,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Ian,McNeice,Winston Churchill in Series 5-6,TRUE,10/2/1974,TRUE,,,8 - Minor recurring character,8
Gabriel,Woolf,"Sutekh in ""Pyramids of Mars"" and ""The Legend of Ruby Sunday""/""Empress of Death"" and The Beast in ""The Impossible Planet""/""The Satan Pit""",TRUE,10/2/1932,TRUE,,,7 - Major recurring character,7
Daniel,Anthony,"Clyde Langer in The Sarah Jane Adventures and ""The Stolen Earth""/""Journey's End""",TRUE,10/4/1987,TRUE,,,4 - Spin-off main character,4
Dudley,Simpson,"Incidental music for 63 of the 101 stories from ""Planet of the Giants"" through ""Shada""",FALSE,10/4/1922,FALSE,2017,95,"6 - Other producers, script editors, and composers",6
Malcolm,Lockyer,Composer for the Aaru Dr. Who movies,FALSE,10/5/1923,FALSE,1976,52,"6 - Other producers, script editors, and composers",6
Fiona,Cumming,"Director of four Fifth Doctor stories including ""Castrovalva""",FALSE,10/9/1937,FALSE,2015,77,10 - Frequent writer or director,10
Nicola,Bryant,Peri Brown 1984-1986,TRUE,10/11/1960,TRUE,,,2 - The Doctor's companion,2
Katy,Manning,Jo Jones 1971-1973 and 2010,TRUE,10/14/1946,TRUE,,,2 - The Doctor's companion,2
Ncuti,Gatwa,The Doctor 2022 - Present,FALSE,10/15/1992,TRUE,,,1 - The Doctor,1
Davina,McCall,"Davinadroid in ""Bad Wolf""/""Parting of the Ways"" and herself in ""The Church on Ruby Road""",FALSE,10/16/1967,TRUE,,,8 - Minor recurring character,8
Patrick,Ness,Writer and Executive Producer for all episodes of Class,FALSE,10/17/1971,TRUE,,,"6 - Other producers, script editors, and composers",6
Mark,Gatiss,"Writer of 9 stories 2005-2017 and the P.R.O.B.E. movies with Liz Shaw, Narrator of Season 2 of Doctor Who Confidential, and other roles",TRUE,10/17/1966,TRUE,,,5 - Multiple other roles,5
Michael,Gambon,"Kazran Sardick and his father in ""A Christmas Carol,"" better known as the second Dumbledore",FALSE,10/19/1940,FALSE,2023,82,9 - Celebrity guest star,9
Anneke,Wills,Polly Wright 1966-1967,TRUE,10/20/1941,TRUE,,,2 - The Doctor's companion,2
Sir Derek,Jacobi,"The Master in ""Scream of the Shalka"" and ""Utopia""",TRUE,10/22/1938,TRUE,,,7 - Major recurring character,7
Peter,Bryant,Alternating Producer and Story Editor 1967-1969,FALSE,10/27/1923,FALSE,2006,82,"3 - Doctor Who showrunner, producer, or story editor",3
Matt,Smith,The Doctor 2010-2013,FALSE,10/28/1979,TRUE,,,1 - The Doctor,1
Ian,Marter,Harry Sullivan 1974-1975 and writer of many Doctor Who novelizations,FALSE,10/28/1944,FALSE,1986,42,2 - The Doctor's companion,2
Nina,Toussaint-White ,"Mels (River Song) in ""Let's Kill Hitler",TRUE,10/29/1985,TRUE,,,2 - The Doctor's companion,2
Michael,Jayston,The Valeyard throughout Season 23,TRUE,10/29/1935,FALSE,2024,88,7 - Major recurring character,7
Richard,Hurndall,"The First Doctor in ""The Five Doctors""",FALSE,11/3/1910,FALSE,1984,73,1 - The Doctor,1
Robyn,Moore,June Turner in K-9,FALSE,11/4/1971,TRUE,,,7 - Major recurring character,7
Bear,McCausland,Steven Carter (Jack's grandson) in Torchwood: Children of Earth,FALSE,11/4/1998,TRUE,,,8 - Minor recurring character,8
Andrew,Hayden-Smith,Jake Simmonds in the Cyber arc of Series 2,FALSE,11/5/1983,TRUE,,,8 - Minor recurring character,8
Hugh,Bonneville,Captain Henry Avery in Series 6,FALSE,11/10/1963,TRUE,,,8 - Minor recurring character,8
Clare,Higgins,"Ohila in ""Night of the Doctor"" and Series 9",FALSE,11/10/1955,TRUE,,,8 - Minor recurring character,8
Paul,Magrs,Writer of over a dozen Big Finish stories,FALSE,11/12/1969,TRUE,,,10 - Frequent writer or director,10
Alex,Fyrehart,of An Unearthly Podcast,FALSE,11/12/1990,TRUE,,,4 - Spin-off main character,4
Russell,Tovey,Narrator for Doctor Who Confidential Series 5 and Alonso Frame in Series 4,TRUE,11/14/1981,TRUE,,,8 - Minor recurring character,8
Paul,McGann,The Doctor in the TV Movie,TRUE,11/14/1959,TRUE,,,1 - The Doctor,1
Alexa,Havins,Esther Drummond in Torchwood: Miracle Day,FALSE,11/16/1980,TRUE,,,8 - Minor recurring character,8
Karl,Zwicky,Director of five episodes of K-9,FALSE,11/16/1956,TRUE,,,10 - Frequent writer or director,10
Miranda,Raison,"Tallulah in ""Daleks in Manhattan""/""Evolution of the Daleks"" and Sixth Doctor audio-only companion Constance Clark",FALSE,11/18/1980,TRUE,,,2 - The Doctor's companion,2
Steven,Moffatt,Doctor Who writer from 2005 onward and Showrunner 2010-2017,FALSE,11/18/1961,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Paul,Jericho,"The Castellan in ""Arc of Infinity"" and ""The Five Doctors""",FALSE,11/18/1948,TRUE,,,8 - Minor recurring character,8
Trevor,Baxter,"Professor George Litefoot in ""The Talons of Weng-Chiang"" and many Big Finish audios",FALSE,11/18/1932,FALSE,2017,84,4 - Spin-off main character,4
Katherine,Kelly,Quill in Class,TRUE,11/19/1945,TRUE,,,4 - Spin-off main character,4
Mark,Bonnar,"Jimmy in ""The Rebel Flesh""/""The Almost People"" and Eighth Doctor audio enemy The Eleven",FALSE,11/19/1968,TRUE,,,8 - Minor recurring character,8
William,Russell,Ian Chesterton 1963-1965 and 2022,TRUE,11/19/1924,FALSE,2024,99,2 - The Doctor's companion,2
Bernard,Horsfall,"Chancellor Goth in ""The War Games"" and ""The Deadly Assassin""",FALSE,11/20/1930,FALSE,2013,82,8 - Minor recurring character,8
Malcolm,Hulke,Writer of 8 stories 1967-1974 and creator of the Silurians,FALSE,11/21/1924,FALSE,1979,54,5 - Multiple other roles,5
Michelle,Gomez,Missy 2014-2017,TRUE,11/23/1966,TRUE,,,2 - The Doctor's companion,2
Michael,Gough,"The Toymaker in ""The Celestial Toymaker"" and Councillor Hedin in ""Arc of Infinity,"" better known as Alfred Pennyworth",FALSE,11/23/1916,FALSE,2011,94,5 - Multiple other roles,5
Philippa,Coulthard,Jorjie Turner in K-9,FALSE,11/25/1992,TRUE,,,4 - Spin-off main character,4
Sophie,Hopkins,April MacLean in Class,TRUE,11/25/1990,TRUE,,,4 - Spin-off main character,4
Simon Fisher,Becker,"Dorium Maldovar in ""The Pandorica Opens""/""The Big Bang"" and ""The Wedding of River Song""",FALSE,11/25/1961,FALSE,2025,63,8 - Minor recurring character,8
Paul,Copley,Clement McDonald in Torchwood: Children of Earth,FALSE,11/25/1944,TRUE,,,7 - Major recurring character,7
Samantha,Bond,"Mrs. Wormwood in ""Invasion of the Bane"" and ""Enemey of the Bane""",FALSE,11/27/1961,TRUE,,,8 - Minor recurring character,8
Howard,Attfield,"Geoff Noble in ""The Runaway Bride"" and films scened to return in ""Partners in Cirme""",FALSE,11/27/1946,FALSE,2007,60,8 - Minor recurring character,8
Verity,Lambert,Doctor Who Producer 1963-1965,FALSE,11/27/1935,FALSE,2007,81,"3 - Doctor Who showrunner, producer, or story editor",3
Karen,Gillan,"Amy Pond 2010-2012, of late known as Nebula",FALSE,11/28/1987,TRUE,,,2 - The Doctor's companion,2
Naoko,Mori,"Toshiko Sato in ""Aliens of London""/""World War Three"" and Torchwood Series 1-2",TRUE,11/29/1971,TRUE,,,4 - Spin-off main character,4
Michael,Craze,Ben Jackson 1966-1967,FALSE,11/29/1942,FALSE,1998,56,2 - The Doctor's companion,2
John,Bishop,Dan Lewis 2021-2022,FALSE,11/30/1966,TRUE,,,2 - The Doctor's companion,2
Deep,Roy,"Mr. Sin in ""The Talons of Weng-Chiang,"" better known as the first actor to appear in Star Wars (stand-in for Yoda), Star Trek (Keenser in JJTrek), and Doctor Who",FALSE,12/1/1957,TRUE,,,9 - Celebrity guest star,9
Kelly A,Manners,Producer for Torchwood: Miracle Day,FALSE,12/1/1955,TRUE,,,"6 - Other producers, script editors, and composers",6
Dennis,Spooner,Writer of five First Doctor stories and Story Editor for most of Season 2,FALSE,12/1/1932,FALSE,1986,53,"3 - Doctor Who showrunner, producer, or story editor",3
David,Bailie,"Dask in ""The Robots of Death"" and the Toymaker for Big Finish",FALSE,12/4/1937,FALSE,2021,83,8 - Minor recurring character,8
Wendy,Padbury,Zoe Heriot in Seasons 5 and 6,TRUE,12/7/1947,TRUE,,,2 - The Doctor's companion,2
Jennie,Linden,Barbara in Aaru Dr. Who movies,FALSE,12/8/1947,TRUE,,,2 - The Doctor's companion,2
Eric,Saward,Dr. Who Story Editor 1982-1986 and Writer of 5 stories,FALSE,12/9/1938,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Waris,Hussein,"Director of ""An Unearthly Child"" and ""Marco Polo""",FALSE,12/9/1938,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Anthony,Coburn,"Writer of ""An Unearthly Child""",FALSE,12/10/1927,FALSE,1977,49,"3 - Doctor Who showrunner, producer, or story editor",3
Richard,Matthews,"Rassilon in ""The Five Doctors""",FALSE,12/11/1914,FALSE,1992,77,7 - Major recurring character,7
Sarah,Sutton,Nyysa of Traken 1981-1983,TRUE,12/12/1961,TRUE,,,2 - The Doctor's companion,2
Tony,Curran,Vincent Van Gogh in Series 5,FALSE,12/13/1969,TRUE,,,7 - Major recurring character,7
Hamish,Wilson,"Rearranged Jamie in ""The Mind Robber""",FALSE,12/13/1942,FALSE,2020,77,2 - The Doctor's companion,2
David,Maloney,Director of 9 stories 1968-1977,FALSE,12/14/1933,FALSE,2006,72,10 - Frequent writer or director,10
Paul,Wilmshurst,Director of three 2014 episodes,FALSE,12/15/1961,TRUE,,,10 - Frequent writer or director,10
Pennant,Roberts,"Director of six serials 1977-1985, including ""Shada""",FALSE,12/15/1940,FALSE,2010,69,10 - Frequent writer or director,10
Ashley,Way,"Director of 12 Doctor Who, Torchwood, and Sarah Jane Adventures stories",FALSE,12/16/1971,TRUE,,,10 - Frequent writer or director,10
Nicholas,Courtney,"Bret Vyon in ""The Daleks' Master Plan"" and Brigadier Alistair Lethbridge-Stewart 1968-1983, 1989, and 2008",TRUE,12/16/1929,FALSE,2011,81,2 - The Doctor's companion,2
Bill,Pullman,Oswald Danes in Torchwood: Miracle Day,FALSE,12/17/1953,TRUE,,,8 - Minor recurring character,8
Alec,Wheal,Senior Cameraperson/Camera Supervisor 1979-1988,FALSE,12/17/1938,FALSE,2019,80,"6 - Other producers, script editors, and composers",6
Jacqueline,Hill,"Barbara Wright 1963-1965 and Lexa in ""Meglos""",FALSE,12/17/1929,FALSE,1993,63,2 - The Doctor's companion,2
Matthew,Waterhouse,Adric 1980-1982,TRUE,12/19/1961,TRUE,,,2 - The Doctor's companion,2
Jacqueline,Pearce,"Chessene in ""The Two Doctors"" and Cardinal Ollistra in Big Finish's Time War series, better known as Servalan from Blake's 7",FALSE,12/20/1943,FALSE,2018,74,8 - Minor recurring character,8
Jessica,Ashworth,"Sarah Jane Smith in ""Whatever Happened to Sarah Jane?""",FALSE,12/23/1987,TRUE,,,2 - The Doctor's companion,2
John,Levene,Warrant Officer John Benton 1968-1975,TRUE,12/24/1941,TRUE,,,2 - The Doctor's companion,2
Innes,Lloyd,Doctor Who Producer 1966-1968,FALSE,12/24/1925,FALSE,1991,65,"3 - Doctor Who showrunner, producer, or story editor",3
Georgia,Tennant,"Cassie Rice in ""Dreamland"" and Jenny in ""The Doctor's Daughter,"" also known as the wife of David Tennant",TRUE,12/25/1984,TRUE,,,5 - Multiple other roles,5
Christopher,Benjamin,"Henry Gordon Jago in ""The Talons of Weng-Chiang"" and many Big Finish audios",FALSE,12/27/1934,FALSE,2025,90,4 - Spin-off main character,4
Mekhi,Phifer,Rex Matheson in Torchwood: Miracle Day,FALSE,12/29/1974,TRUE,,,8 - Minor recurring character,8
Bernard,Cribbins,"Tom Campbell in Daleks' Invasion Earth 2150 AD and Wilfred Mott 2007-2010, 2023",TRUE,12/29/1928,FALSE,2022,93,2 - The Doctor's companion,2
Vivian,Oparah,Tanya in Class,TRUE,12/30/1996,TRUE,,,4 - Spin-off main character,4
Saul,Metzstein,Director of 6 Series 7 stories,FALSE,12/30/1970,TRUE,,,10 - Frequent writer or director,10
